id,Story,StoryText,user,fun,goal,nonfun
4345,story 4345,"As a developer, I want to have detailed information of what happened when my application crashes on the user’s device.",developer, to have detailed information ,NULL,NULL
4346,story 4346,"As a app developer, I want to present my App in several ways.",app developer, to present my App ,NULL,NULL
4347,story 4347,"As a application developer, I want to present my App in several ways.",application developer, to present my App ,NULL,NULL
4348,story 4348,"As a developer, I want to present my application in several ways.",developer, to present my application ,NULL,NULL
4349,story 4349,"As a app developer, I want to be able to design my App on my own - though there will be a few rules I have to stand to.",app developer, to be able to ,NULL,NULL
4350,story 4350,"As a application developer, I want to be able to design my App on my own - though there will be a few rules I have to stand to.",application developer, to be able to ,NULL,NULL
4351,story 4351,"As a developer, I want to be able to design my application on my own - though there will be a few rules I have to stand to.",developer, to be able to ,NULL,NULL
4352,story 4352,"As a app developer, I want to have an easy way to define questions the user canAsk and perform.",app developer, to have an easy ,NULL,NULL
4353,story 4353,"As a application developer, I want to have an easy way to define questions the user canAsk and perform.",application developer, to have an easy ,NULL,NULL
4354,story 4354,"As a developer, I want to have an easy way to define questions the customer canAsk and perform.",developer, to have an easy ,NULL,NULL
4355,story 4355,"As a developer, I want to have an easy way to define questions the client canAsk and perform.",developer, to have an easy ,NULL,NULL
4356,story 4356,"As a developer, I want to have an easy way to define questions the end user canAsk and perform.",developer, to have an easy ,NULL,NULL
4357,story 4357,"As a app developer, I want to have my App to be granted access to several operating system features.",app developer, to have my App ,NULL,NULL
4358,story 4358,"As a application developer, I want to have my App to be granted access to several operating system features.",application developer, to have my App ,NULL,NULL
4359,story 4359,"As a developer, I want to have my application to be granted access to several operating system features.",developer, to have my application ,NULL,NULL
4360,story 4360,"As a app developer, I want to have the API components to be on a high level so that I don’t have to deal with their details.",app developer, to have the API , I don’t have to ,NULL
4361,story 4361,"As a application developer, I want to have the API components to be on a high level so that I don’t have to deal with their details.",application developer, to have the API , I don’t have to ,NULL
4362,story 4362,"As a app developer, I want to have an easy way to read data from health sensors the user is wearing.",app developer, to have an easy ,NULL,NULL
4363,story 4363,"As a application developer, I want to have an easy way to read data from health sensors the user is wearing.",application developer, to have an easy ,NULL,NULL
4364,story 4364,"As a developer, I want to have an easy way to read data from health sensors the customer is wearing.",developer, to have an easy ,NULL,NULL
4365,story 4365,"As a developer, I want to have an easy way to read data from health sensors the client is wearing.",developer, to have an easy ,NULL,NULL
4366,story 4366,"As a developer, I want to have an easy way to read data from health sensors the end user is wearing.",developer, to have an easy ,NULL,NULL
4367,story 4367,"As a serious games app developer, I want to be able to take control over some functions to provide the desired user experience.",serious games app developer, to be able to ,NULL,NULL
4368,story 4368,"As a serious games application developer, I want to be able to take control over some functions to provide the desired user experience.",serious games application developer, to be able to ,NULL,NULL
4369,story 4369,"As a serious games developer, I want to be able to take control over some functions to provide the desired customer experience.",serious games developer, to be able to ,NULL,NULL
4370,story 4370,"As a serious games developer, I want to be able to take control over some functions to provide the desired client experience.",serious games developer, to be able to ,NULL,NULL
4371,story 4371,"As a serious games developer, I want to be able to take control over some functions to provide the desired end user experience.",serious games developer, to be able to ,NULL,NULL
4372,story 4372,"As a app developer, I want to provide an easy way to manage the user Settings.",app developer, to provide an easy ,NULL,NULL
4373,story 4373,"As a application developer, I want to provide an easy way to manage the user Settings.",application developer, to provide an easy ,NULL,NULL
4374,story 4374,"As a developer, I want to provide an easy way to manage the customer Settings.",developer, to provide an easy ,NULL,NULL
4375,story 4375,"As a developer, I want to provide an easy way to manage the client Settings.",developer, to provide an easy ,NULL,NULL
4376,story 4376,"As a developer, I want to provide an easy way to manage the end user Settings.",developer, to provide an easy ,NULL,NULL
4377,story 4377,"As a app developer, I want to have the ALFRED API to reduce the work to achieve my goals.",app developer, to have the ALFRED ,NULL,NULL
4378,story 4378,"As a application developer, I want to have the ALFRED API to reduce the work to achieve my goals.",application developer, to have the ALFRED ,NULL,NULL
4379,story 4379,"As a app developer, I want to have the ALFRED API to reduce the work to achieve my goals.",app developer, to have the ALFRED ,NULL,NULL
4380,story 4380,"As a application developer, I want to have the ALFRED API to reduce the work to achieve my goals.",application developer, to have the ALFRED ,NULL,NULL
4381,story 4381,"As a anyone, I want to view a list of sponsors, so that I can thank all the awesome sponsors.",anyone, view a list of , thank all the awesome ,NULL
4382,story 4382,"As a anyone, I want to view a list of user profiles, so that I know who is attending the conference.",anyone, view a list of , I know who is ,NULL
4383,story 4383,"As a anonymoususer, I want to view a list of customer profiles, so that I know who is attending the conference.",anonymoususer, view a list of , I know who is ,NULL
4384,story 4384,"As a anonymoususer, I want to view a list of client profiles, so that I know who is attending the conference.",anonymoususer, view a list of , I know who is ,NULL
4385,story 4385,"As a anonymoususer, I want to view a list of end user profiles, so that I know who is attending the conference.",anonymoususer, view a list of , I know who is ,NULL
4386,story 4386,"As a practitioner, I want to edit my training node myself, so that the training coordinators don't have to and links to slides.",practitioner, edit my training node , the training coordinators don't ,NULL
4387,story 4387,"As a trainer, I want to modify my training node myself, so that the training coordinators don't have to and links to slides.",trainer, modify my training node , the training coordinators don't ,NULL
4388,story 4388,"As a trainer, I want to update my training node myself, so that the training coordinators don't have to and links to slides.",trainer, update my training node , the training coordinators don't ,NULL
4389,story 4389,"As a trainee, I want to limit to one registration per day per authenticated customer, so that we don't have duplicate spaces.",trainee, limit to one registration , we don't have duplicate ,NULL
4390,story 4390,"As a trainee, I want to limit to one registration per day per authenticated client, so that we don't have duplicate spaces.",trainee, limit to one registration , we don't have duplicate ,NULL
4391,story 4391,"As a trainee, I want to limit to one registration per day per authenticated end user, so that we don't have duplicate spaces.",trainee, limit to one registration , we don't have duplicate ,NULL
4392,story 4392,"As a trainingcoordinator, I want to have an administrator view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",trainingcoordinator, have an administrator view ,", so that we can ",NULL
4393,story 4393,"As a trainingcoordinator, I want to have an application administrator view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",trainingcoordinator, have an application administrator ,", so that we can ",NULL
4394,story 4394,"As a trainingcoordinator, I want to have an system admin view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",trainingcoordinator, have an system admin ,", so that we can ",NULL
4395,story 4395,"As a trainingcoordinator, I want to have an system administrator view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",trainingcoordinator, have an system administrator ,", so that we can ",NULL
4396,story 4396,"As a trainingcoordinator, I want to have an sys admin view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",trainingcoordinator, have an sys admin ,", so that we can ",NULL
4397,story 4397,"As a trainingcoordinator, I want to have an sys administrator view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",trainingcoordinator, have an sys administrator ,", so that we can ",NULL
4398,story 4398,"As a practitioner, I want to have a view that is attached to their training node that shows all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy, so that the training coordinator doesn't have to do all the work to get login info for environment setup.",practitioner, have a view that , the training coordinator doesn't ,NULL
4399,story 4399,"As a trainingcoordinator, I want to have an administrator view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",trainingcoordinator, have an administrator view , see WTF is happening.,NULL
4400,story 4400,"As a trainingcoordinator, I want to have an application administrator view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",trainingcoordinator, have an application administrator , see WTF is happening.,NULL
4401,story 4401,"As a trainingcoordinator, I want to have an system admin view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",trainingcoordinator, have an system admin , see WTF is happening.,NULL
4402,story 4402,"As a trainingcoordinator, I want to have an system administrator view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",trainingcoordinator, have an system administrator , see WTF is happening.,NULL
4403,story 4403,"As a trainingcoordinator, I want to have an sys admin view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",trainingcoordinator, have an sys admin , see WTF is happening.,NULL
4404,story 4404,"As a trainingcoordinator, I want to have an sys administrator view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",trainingcoordinator, have an sys administrator , see WTF is happening.,NULL
4405,story 4405,"As a anyone, I want to have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class. The URL path should be SEO friendly /training/training-title, so that I can choose the right class, AND the trainer can tweet and promote their class.",anyone, have a dedicated page ," choose the right class, ",NULL
4406,story 4406,"As a anonymoususer, I want to have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class. The URL path should be SEO friendly /training/training-title, so that I can choose the right class, AND the practitioner can tweet and promote their class.",anonymoususer, have a dedicated page ," choose the right class, ",NULL
4407,story 4407,"As a anyone, I want to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link, so that I can shop for training all with one page AND find their class on on one page.",anyone, have the training options , shop for training all ,NULL
4408,story 4408,"As a anyone, I want to have a training landing page with an intro section and a list of all training offerings and promote call for trainings, so that I can shop for training all with one page and we can have a call for trainings for selection.",anyone, have a training landing , shop for training all ,NULL
4409,story 4409,"As a anyone, I want to have a link on the home page to a list of training options, so that I can take training.",anyone, have a link on , take ,NULL
4410,story 4410,"As a anyone, I want to find out where the coding lounge is and what time it is open, so that I can code with my friends.",anyone, find out where the , code with my friends.,NULL
4411,story 4411,"As a admin, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",admin, refund sponsorship money that , people get their monies ,NULL
4412,story 4412,"As a application administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",application administrator, refund sponsorship money that , people get their monies ,NULL
4413,story 4413,"As a system admin, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",system admin, refund sponsorship money that , people get their monies ,NULL
4414,story 4414,"As a system administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",system administrator, refund sponsorship money that , people get their monies ,NULL
4415,story 4415,"As a sys admin, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",sys admin, refund sponsorship money that , people get their monies ,NULL
4416,story 4416,"As a sys administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",sys administrator, refund sponsorship money that , people get their monies ,NULL
4417,story 4417,"As a anyone, I want to See a list of attendeesAssociated with this company, so that I know who from this sponsor organization is attending.",anyone, See a list of , I know who from ,NULL
4418,story 4418,"As a admin, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",admin, create and maintain venues, provide location details to ,NULL
4419,story 4419,"As a application administrator, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",application administrator, create and maintain venues, provide location details to ,NULL
4420,story 4420,"As a system admin, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",system admin, create and maintain venues, provide location details to ,NULL
4421,story 4421,"As a system administrator, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",system administrator, create and maintain venues, provide location details to ,NULL
4422,story 4422,"As a sys admin, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",sys admin, create and maintain venues, provide location details to ,NULL
4423,story 4423,"As a sys administrator, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",sys administrator, create and maintain venues, provide location details to ,NULL
4424,story 4424,"As a anyone, I want to view venue details, so that I can get a sense of the location and see the events happening there.",anyone, view venue details, get a sense of ,NULL
4425,story 4425,"As a anyone, I want to see a list of the sessionsAssociated with sponsor attendees, so that I know where I can engage with this sponsor and where they are thought leaders.",anyone, see a list of , I know where I ,NULL
4426,story 4426,"As a admin, I want toAssign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.",admin," toAssign sponsors to events, ", They will be featured ,NULL
4427,story 4427,"As a application administrator, I want toAssign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.",application administrator," toAssign sponsors to events, ", They will be featured ,NULL
4428,story 4428,"As a system admin, I want toAssign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.",system admin," toAssign sponsors to events, ", They will be featured ,NULL
4429,story 4429,"As a system administrator, I want toAssign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.",system administrator," toAssign sponsors to events, ", They will be featured ,NULL
4430,story 4430,"As a sys admin, I want toAssign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.",sys admin," toAssign sponsors to events, ", They will be featured ,NULL
4431,story 4431,"As a sys administrator, I want toAssign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.",sys administrator," toAssign sponsors to events, ", They will be featured ,NULL
4432,story 4432,"As a anyone, I want to see all events, trainings and summits that a sponsor is sponsoring so that I know where I can engage with this sponsor and where they are thought leaders.",anyone," to see all events, ", I know where I ,NULL
4433,story 4433,"As a authenticateduser, I want to edit my user profile, so that I can connect with other Drupalists at BADCamp.",authenticateduser, edit my user profile, connect with other Drupalists ,NULL
4434,story 4434,"As a authenticateduser, I want to modify my user profile, so that I can connect with other Drupalists at BADCamp.",authenticateduser, modify my user profile, connect with other Drupalists ,NULL
4435,story 4435,"As a authenticateduser, I want to update my customer profile, so that I can connect with other Drupalists at BADCamp.",authenticateduser, update my customer profile, connect with other Drupalists ,NULL
4436,story 4436,"As a authenticateduser, I want to update my client profile, so that I can connect with other Drupalists at BADCamp.",authenticateduser, update my client profile, connect with other Drupalists ,NULL
4437,story 4437,"As a authenticateduser, I want to update my end user profile, so that I can connect with other Drupalists at BADCamp.",authenticateduser, update my end user , connect with other Drupalists ,NULL
4438,story 4438,"As a anyone, I want to sign up for the BADCamp newsletter, so that I can stay up to date with the latest communications about BADCamp.",anyone, sign up for the , stay up to date ,NULL
4439,story 4439,"As a admin, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",admin, tag my blog posts , they will be listed ,NULL
4440,story 4440,"As a application administrator, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",application administrator, tag my blog posts , they will be listed ,NULL
4441,story 4441,"As a system admin, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",system admin, tag my blog posts , they will be listed ,NULL
4442,story 4442,"As a system administrator, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",system administrator, tag my blog posts , they will be listed ,NULL
4443,story 4443,"As a sys admin, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",sys admin, tag my blog posts , they will be listed ,NULL
4444,story 4444,"As a sys administrator, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",sys administrator, tag my blog posts , they will be listed ,NULL
4445,story 4445,"As a admin, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",admin, create blog posts, share the latest information ,NULL
4446,story 4446,"As a application administrator, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",application administrator, create blog posts, share the latest information ,NULL
4447,story 4447,"As a system admin, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",system admin, create blog posts, share the latest information ,NULL
4448,story 4448,"As a system administrator, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",system administrator, create blog posts, share the latest information ,NULL
4449,story 4449,"As a sys admin, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",sys admin, create blog posts, share the latest information ,NULL
4450,story 4450,"As a sys administrator, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",sys administrator, create blog posts, share the latest information ,NULL
4451,story 4451,"As a anyone, I want to read the blog, so that I can stay informed about all the latest happenings with BADCamp.",anyone, read the blog, stay informed about all ,NULL
4452,story 4452,"As a anyone, I want to see how many seats are left for the summit, so that I can make sure to register in-time to reserve my spot.",anyone, see how many seats , make sure to register ,NULL
4453,story 4453,"As a anyone, I want to see specific details on summits, so that I can learn more about the summit I'm interested in to see if it matches my interests, register for the event, and get day-of knowledge to help me get to the location.",anyone, see specific details on , learn more about the ,NULL
4454,story 4454,"As a anyone, I want to see a list of all the summits, so that I can determine which summit I might be interested and able to attend.",anyone, see a list of , determine which summit I ,NULL
4455,story 4455,"As a anyone, I want to learn about sponsorship levels, so that I can determine the right level of sponsorship for my organization.",anyone, learn about sponsorship levels, determine the right level ,NULL
4456,story 4456,"As a authenticateduser, I want to use a WYSIWYG editor for all long-form content, so that I don't have to know HTML to edit my content.",authenticateduser, use a WYSIWYG editor , I don't have to ,NULL
4457,story 4457,"As a authenticateduser, I want to use a WYSIWYG editor for all long-form content, so that I don't have to know HTML to modify my content.",authenticateduser, use a WYSIWYG editor , I don't have to ,NULL
4458,story 4458,"As a anyone, I want to learn about posting jobsAs a sponsor and contact the sponsorship person, so that I have the opportunty to post my job listing on the BADCamp site.",anyone, learn about posting jobsAs , I have the opportunty ,NULL
4459,story 4459,"As a admin, I want toAssign a room to a time slot and a location, so that I can populate the schedule .",admin, a time slot and , populate the schedule .,NULL
4460,story 4460,"As a application administrator, I want toAssign a room to a time slot and a location, so that I can populate the schedule .",application administrator, a time slot and , populate the schedule .,NULL
4461,story 4461,"As a system admin, I want toAssign a room to a time slot and a location, so that I can populate the schedule .",system admin, a time slot and , populate the schedule .,NULL
4462,story 4462,"As a system administrator, I want toAssign a room to a time slot and a location, so that I can populate the schedule .",system administrator, a time slot and , populate the schedule .,NULL
4463,story 4463,"As a sys admin, I want toAssign a room to a time slot and a location, so that I can populate the schedule .",sys admin, a time slot and , populate the schedule .,NULL
4464,story 4464,"As a sys administrator, I want toAssign a room to a time slot and a location, so that I can populate the schedule .",sys administrator, a time slot and , populate the schedule .,NULL
4465,story 4465,"As a anyone, I want to see the schedule, so that I can plan my day and figure out where to go!.",anyone, see the schedule, plan my day and ,NULL
4466,story 4466,"As a anyone, I want to see the final list of sessions approved, so that I can see what's going on at BADCamp .",anyone, see the final list , see what's going on ,NULL
4467,story 4467,"As a admin, I want to bulk approve sessionsAs accepted, so that I can save time.",admin, bulk approve sessionsAs accepted, save ,NULL
4468,story 4468,"As a application administrator, I want to bulk approve sessionsAs accepted, so that I can save time.",application administrator, bulk approve sessionsAs accepted, save ,NULL
4469,story 4469,"As a system admin, I want to bulk approve sessionsAs accepted, so that I can save time.",system admin, bulk approve sessionsAs accepted, save ,NULL
4470,story 4470,"As a system administrator, I want to bulk approve sessionsAs accepted, so that I can save time.",system administrator, bulk approve sessionsAs accepted, save ,NULL
4471,story 4471,"As a sys admin, I want to bulk approve sessionsAs accepted, so that I can save time.",sys admin, bulk approve sessionsAs accepted, save ,NULL
4472,story 4472,"As a sys administrator, I want to bulk approve sessionsAs accepted, so that I can save time.",sys administrator, bulk approve sessionsAs accepted, save ,NULL
4473,story 4473,"As a admin, I want to mark a sessionAs accepted, so that I can populate the schedule .",admin, mark a sessionAs accepted, populate the schedule .,NULL
4474,story 4474,"As a application administrator, I want to mark a sessionAs accepted, so that I can populate the schedule .",application administrator, mark a sessionAs accepted, populate the schedule .,NULL
4475,story 4475,"As a system admin, I want to mark a sessionAs accepted, so that I can populate the schedule .",system admin, mark a sessionAs accepted, populate the schedule .,NULL
4476,story 4476,"As a system administrator, I want to mark a sessionAs accepted, so that I can populate the schedule .",system administrator, mark a sessionAs accepted, populate the schedule .,NULL
4477,story 4477,"As a sys admin, I want to mark a sessionAs accepted, so that I can populate the schedule .",sys admin, mark a sessionAs accepted, populate the schedule .,NULL
4478,story 4478,"As a sys administrator, I want to mark a sessionAs accepted, so that I can populate the schedule .",sys administrator, mark a sessionAs accepted, populate the schedule .,NULL
4479,story 4479,"As a anyone, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected.",anyone, receive a notification when , I know whether I've ,NULL
4480,story 4480,"As a anyone, I want to receive a notification when I submit a session, so that know that my session went through ok.",anyone, receive a notification when , know that my session ,NULL
4481,story 4481,"As a authenticateduser, I want to modify my session, so that if I make a mistake, I can correct it.",authenticateduser, modify my session, if I make a ,NULL
4482,story 4482,"As a authenticateduser, I want to update my session, so that if I make a mistake, I can correct it.",authenticateduser, update my session, if I make a ,NULL
4483,story 4483,"As a anyone, I want to register to speak at BADCamp, so that I submit a session.",anyone, register to speak at , I submit a session.,NULL
4484,story 4484,"As a anyone, I want to see a list of all the summits that include when they are, so that I can determine which summit I want to attend.",anyone, see a list of , determine which summit I ,NULL
4485,story 4485,"As a anyone, I want to easily find a link in the menu that links to the registration form, so that I can easily register for the camp.",anyone, easily find a link , easily register for the ,easily
4486,story 4486,"As a anyone, I want to fill out a user registration form, so that I can register for the camp and get an account on the website.",anyone, fill out a user , register for the camp ,NULL
4487,story 4487,"As a anonymoususer, I want to fill out a customer registration form, so that I can register for the camp and get an account on the website.",anonymoususer, fill out a customer , register for the camp ,NULL
4488,story 4488,"As a anonymoususer, I want to fill out a client registration form, so that I can register for the camp and get an account on the website.",anonymoususer, fill out a client , register for the camp ,NULL
4489,story 4489,"As a anonymoususer, I want to fill out a end user registration form, so that I can register for the camp and get an account on the website.",anonymoususer, fill out a end , register for the camp ,NULL
4490,story 4490,"As a anyone, I want to find session information, so that I can go to a session.",anyone, find session information, go to a session.,NULL
4491,story 4491,"As a PI, I want to appropriately record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, appropriately record all metadata, ensure proper running of ,appropriately
4491,story 4491,"As a PI, I want to appropriately record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, appropriately record all metadata, ensure proper running of ,proper
4492,story 4492,"As a PI, I want to correctly record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, correctly record all metadata, ensure proper running of ,correctly
4492,story 4492,"As a PI, I want to correctly record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, correctly record all metadata, ensure proper running of ,proper
4493,story 4493,"As a PI, I want to accurately record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, accurately record all metadata, ensure proper running of ,proper
4494,story 4494,"As a PI, I want to properly record all metadata, so that I can guarantee proper running of the project in case of staff changes.",PI, properly record all metadata, guarantee proper running of ,proper
4494,story 4494,"As a PI, I want to properly record all metadata, so that I can guarantee proper running of the project in case of staff changes.",PI, properly record all metadata, guarantee proper running of ,properly
4495,story 4495,"As a PI, I want to properly record all metadata, so that I can emphasize proper running of the project in case of staff changes.",PI, properly record all metadata, emphasize proper running of ,proper
4495,story 4495,"As a PI, I want to properly record all metadata, so that I can emphasize proper running of the project in case of staff changes.",PI, properly record all metadata, emphasize proper running of ,properly
4496,story 4496,"As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of employee changes.",PI, properly record all metadata, ensure proper running of ,proper
4496,story 4496,"As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of employee changes.",PI, properly record all metadata, ensure proper running of ,properly
4497,story 4497,"As a PI, I want to appropriately record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, appropriately record all metadata, ensure proper running of ,appropriately
4497,story 4497,"As a PI, I want to appropriately record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, appropriately record all metadata, ensure proper running of ,proper
4498,story 4498,"As a PI, I want to correctly record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, correctly record all metadata, ensure proper running of ,correctly
4498,story 4498,"As a PI, I want to correctly record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, correctly record all metadata, ensure proper running of ,proper
4499,story 4499,"As a PI, I want to accurately record all metadata, so that I can ensure proper running of the project in case of staff changes.",PI, accurately record all metadata, ensure proper running of ,proper
4500,story 4500,"As a PI, I want to properly record all metadata, so that I can guarantee proper running of the project in case of staff changes.",PI, properly record all metadata, guarantee proper running of ,proper
4500,story 4500,"As a PI, I want to properly record all metadata, so that I can guarantee proper running of the project in case of staff changes.",PI, properly record all metadata, guarantee proper running of ,properly
4501,story 4501,"As a PI, I want to properly record all metadata, so that I can emphasize proper running of the project in case of staff changes.",PI, properly record all metadata, emphasize proper running of ,proper
4501,story 4501,"As a PI, I want to properly record all metadata, so that I can emphasize proper running of the project in case of staff changes.",PI, properly record all metadata, emphasize proper running of ,properly
4502,story 4502,"As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of employee changes.",PI, properly record all metadata, ensure proper running of ,proper
4502,story 4502,"As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of employee changes.",PI, properly record all metadata, ensure proper running of ,properly
4503,story 4503,"As a data director, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.",data director, know how the data , develop more detailed usage ,NULL
4504,story 4504,"As a data supervisor, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.",data supervisor, know how the data , develop more detailed usage ,NULL
4505,story 4505,"As a data chief, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.",data chief, know how the data , develop more detailed usage ,NULL
4506,story 4506,"As an IT director, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning.",IT director, know about IT resource , enable resource acquisition planning.,NULL
4507,story 4507,"As an IT supervisor, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning.",IT supervisor, know about IT resource , enable resource acquisition planning.,NULL
4508,story 4508,"As an IT chief, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning.",IT chief, know about IT resource , enable resource acquisition planning.,NULL
4509,story 4509,"As a PI, I want to plan what kind of data I want to record/store, so that I can guarantee it will possible to store it.",PI, plan what kind of , guarantee it will possible ,NULL
4510,story 4510,"As a PI, I want to plan what kind of data I want to record/store, so that I can emphasize it will possible to store it.",PI, plan what kind of , emphasize it will possible ,NULL
4511,story 4511,"As an IT employee member, I want to know the security requirements of the data, so that I know which kind of security measures to apply.",IT employee member, know the security requirements , I know which kind ,NULL
4512,story 4512,"As a data director, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can ensure the descriptions are current and add detailAs the study proceeds.",data director, have the description of , ensure the descriptions are ,NULL
4513,story 4513,"As a data supervisor, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can ensure the descriptions are current and add detailAs the study proceeds.",data supervisor, have the description of , ensure the descriptions are ,NULL
4514,story 4514,"As a data chief, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can ensure the descriptions are current and add detailAs the study proceeds.",data chief, have the description of , ensure the descriptions are ,NULL
4515,story 4515,"As a data manager, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can guarantee the descriptions are current and add detailAs the study proceeds.",data manager, have the description of , guarantee the descriptions are ,NULL
4516,story 4516,"As a data manager, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can emphasize the descriptions are current and add detailAs the study proceeds.",data manager, have the description of , emphasize the descriptions are ,NULL
4517,story 4517,"As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through immediately writing it.",researcher, know which topics are , save time through immediately ,immediately
4518,story 4518,"As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through rapidly writing it.",researcher, know which topics are , save time through rapidly ,NULL
4519,story 4519,"As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through instantly writing it.",researcher, know which topics are , save time through instantly ,NULL
4520,story 4520,"As a data director, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits.",data director, know what the content , decide to which collection ,NULL
4521,story 4521,"As a data supervisor, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits.",data supervisor, know what the content , decide to which collection ,NULL
4522,story 4522,"As a data chief, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits.",data chief, know what the content , decide to which collection ,NULL
4523,story 4523,"As a data manager, I want to know what the content of the data is, so that I can decide to which group or repository the data fits.",data manager, know what the content , decide to which group ,NULL
4524,story 4524,"As a data manager, I want to know what the content of the data is, so that I can decide to which set or repository the data fits.",data manager, know what the content , decide to which set ,NULL
4525,story 4525,"As an IT employee member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption.",IT employee member, have an estimate of , plan the overall storage ,NULL
4526,story 4526,"As an admin, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.",admin, know who funded the , track the funder specific ,NULL
